seq:ID,code,name
530,600444,国机通用
531,600470,六国化工
532,600496,精工钢构
533,600520,文一科技
534,600551,时代出版
535,600567,山鹰纸业
536,600575,皖江物流
537,600577,精达股份
538,600585,海螺水泥
539,600761,安徽合力
540,600808,马钢股份
541,600983,惠而浦
542,600985,雷鸣科化
543,600990,四创电子
544,601801,皖新传媒
545,153,丰原药业
546,417,合肥百货
547,521,美菱电器
548,543,皖能电力
549,619,海螺型材
550,630,铜陵有色
551,713,丰乐种业
552,728,国元证券
553,850,华茂股份
554,859,国风塑业
555,868,安凯客车
556,887,中鼎股份
557,979,中弘股份
558,980,众泰汽车
559,2018,华信国际
560,2057,中钢天源
561,2136,安 纳 达
562,2140,东华科技
563,2147,新光圆成
564,2171,楚江新材
565,2208,合肥城建
566,2226,江南化工
567,2230,科大讯飞
568,2298,中电鑫龙
569,2331,皖通科技
570,2347,泰尔股份
571,2352,顺丰控股
572,2361,神剑股份
573,2538,司尔特
574,2541,鸿路钢构
575,2555,三七互娱
576,2556,辉隆股份
577,2557,洽洽食品
578,2571,*ST德力
579,2597,金禾实业
580,2607,亚夏汽车
581,300009,安科生物
582,300087,荃银高科
583,300088,长信科技
584,300090,盛运环保
585,300218,安利股份
586,300247,乐金健康
587,300274,阳光电源
588,600054,黄山旅游
589,600094,大名城
590,600190,锦州港
591,600221,海航控股
592,600272,开开实业
593,600295,鄂尔多斯
594,600320,振华重工
595,600555,海航创新
596,600602,云赛智联
597,600604,市北高新
598,600610,中毅达
599,600611,大众交通
600,600612,老凤祥
601,600613,神奇制药
602,600614,鹏起科技
603,600617,国新能源
604,600618,氯碱化工
605,600619,海立股份
606,600623,华谊集团
607,600639,浦东金桥
608,600648,外高桥
609,600650,锦江投资
610,600663,陆家嘴
611,600679,上海凤凰
612,600680,*ST上普
613,600689,上海三毛
614,600695,绿庭投资
615,600698,湖南天雁
616,600726,华电能源
617,600751,天海投资
618,600754,锦江股份
619,600776,东方通信
620,600801,华新水泥
621,600818,中路股份
622,600819,耀皮玻璃
623,600822,上海物贸
624,600827,百联股份
625,600835,上海机电
626,600841,上柴股份
627,600843,上工申贝
628,600844,*ST丹科
629,600845,宝信软件
630,600848,上海临港
631,600851,海欣股份
632,11,深物业A
633,12,南 玻Ａ
634,16,深康佳Ａ
635,17,深中华A
636,18,神州长城
637,19,深深宝Ａ
638,20,深华发Ａ
639,22,深赤湾Ａ
640,25,特 力Ａ
641,26,飞亚达Ａ
642,28,国药一致
643,29,深深房Ａ
644,30,富奥股份
645,37,深南电A
646,45,深纺织Ａ
647,55,方大集团
648,56,皇庭国际
649,58,深 赛 格
650,413,东旭光电
651,418,小天鹅Ａ
652,429,粤高速Ａ
653,488,晨鸣纸业
654,505,珠江控股
655,521,美菱电器
656,530,大冷股份
657,539,粤电力Ａ
658,541,佛山照明
659,550,江铃汽车
660,553,沙隆达Ａ
661,570,苏常柴Ａ
662,581,威孚高科
663,596,古井贡酒
664,613,*ST东海A
665,625,长安汽车
666,725,京东方Ａ
667,726,鲁 泰Ａ
668,761,本钢板材
669,869,张 裕Ａ
670,600187,国中水务
671,600292,远达环保
672,600388,龙净环保
673,600405,动力源
674,600459,贵研铂业
675,600499,科达洁能
676,600526,菲达环保
677,600630,龙头股份
678,601908,京运通
679,5,世纪星源
680,425,徐工机械
681,551,创元科技
682,581,威孚高科
683,586,汇源通信
684,652,泰达股份
685,915,山大华特
686,925,众合科技
687,2076,雪 莱 特
688,2126,银轮股份
689,2145,中核钛白
690,2203,海亮股份
691,2341,新纶科技
692,2499,科林环保
693,2549,凯美特气
694,2573,清新环境
695,2658,雪迪龙
696,300007,汉威科技
697,300012,华测检测
698,300056,三维丝
699,300072,三聚环保
700,300090,盛运环保
701,300105,龙源技术
702,300137,先河环保
703,300152,科融环境
704,300156,神雾环保
705,300165,天瑞仪器
706,300172,中电环保
707,300187,永清环保
708,300203,聚光科技
709,300249,依米康
710,300285,国瓷材料
711,300385,雪浪环境
712,600004,白云机场
713,600009,上海机场
714,600010,包钢股份
715,600011,华能国际
716,600018,上港集团
717,600019,宝钢股份
718,600027,华电国际
719,600031,三一重工
720,600038,中直股份
721,600068,葛洲坝
722,600087,退市长油
723,600104,上汽集团
724,600115,东方航空
725,600118,中国卫星
726,600139,西部资源
727,600362,江西铜业
728,600393,粤泰股份
729,600428,中远海特
730,600478,科力远
731,600500,中化国际
732,600507,方大特钢
733,600508,上海能源
734,600523,贵航股份
735,600611,大众交通
736,600662,强生控股
737,600676,交运股份
738,600717,天津港
739,600718,东软集团
740,600719,大连热电
741,600770,综艺股份
742,600782,新钢股份
743,600787,中储股份
744,600795,国电电力
745,600811,东方集团
746,600832,东方明珠
747,600850,华东电脑
748,600855,航天长峰
749,600875,东方电气
750,600879,航天电子
751,600895,张江高科
752,600900,长江电力
753,600980,北矿科技
754,600990,四创电子
755,27,深圳能源
756,31,中粮地产
757,46,泛海控股
758,69,华侨城Ａ
759,89,深圳机场
760,157,中联重科
761,333,美的集团
762,520,长航凤凰
763,629,*ST钒钛
764,719,大地传媒
765,723,美锦能源
766,758,中色股份
767,761,本钢板材
768,768,中航飞机
769,777,中核科技
770,789,万年青
771,798,中水渔业
772,800,一汽轿车
773,825,太钢不锈
774,837,秦川机床
775,878,云南铜业
776,912,*ST天化
777,930,中粮生化
778,951,中国重汽
779,2046,轴研科技
780,2171,楚江新材
781,2268,卫 士 通
782,2368,太极股份
783,2415,海康威视
784,600012,皖通高速
785,600064,南京高科
786,600070,浙江富润
787,600095,哈高科
788,600113,浙江东日
789,600119,长江投资
790,600120,浙江东方
791,600143,金发科技
792,600208,新湖中宝
793,600211,西藏药业
794,600237,铜峰电子
795,600305,恒顺醋业
796,600327,大东方
797,600330,天通股份
798,600400,红豆股份
799,600415,小商品城
800,600491,龙元建设
801,600527,江南高纤
